bin, occurrences
18,11
19,0
20,22
21,0
22,21
23,0
24,10
25,0
26,8
27,0
28,5
29,0
30,2
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,3
13,0
14,6
15,0
16,16
17,0
18,9
19,0
20,24
21,0
22,14
23,0
24,15
25,0
26,10
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,3
13,0
14,13
15,0
16,11
17,0
18,15
19,0
20,18
21,0
22,17
23,0
24,11
25,0
26,7
27,0
28,3
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,3
13,0
14,7
15,0
16,17
17,0
18,15
19,0
20,16
21,0
22,14
23,0
24,14
25,0
26,7
27,0
28,5
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,3
11,0
12,3
13,0
14,9
15,0
16,12
17,0
18,12
19,0
20,22
21,0
22,12
23,0
24,8
25,0
26,9
27,0
28,8
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,4
13,0
14,12
15,0
16,13
17,0
18,13
19,0
20,22
21,0
22,11
23,0
24,11
25,0
26,6
27,0
28,2
29,0
30,1
31,0
32,3
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,2
13,0
14,8
15,0
16,16
17,0
18,17
19,0
20,21
21,0
22,10
23,0
24,13
25,0
26,5
27,0
28,4
29,0
30,2
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,3
13,0
14,7
15,0
16,9
17,0
18,18
19,0
20,14
21,0
22,15
23,0
24,11
25,0
26,9
27,0
28,10
29,0
30,4
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,2
11,0
12,2
13,0
14,8
15,0
16,12
17,0
18,16
19,0
20,14
21,0
22,21
23,0
24,14
25,0
26,5
27,0
28,2
29,0
30,3
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,3
11,0
12,2
13,0
14,9
15,0
16,13
17,0
18,14
19,0
20,15
21,0
22,17
23,0
24,11
25,0
26,8
27,0
28,4
29,0
30,2
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,0
12,2
13,0
14,7
15,0
16,13
17,0
18,19
19,0
20,19
21,0
22,16
23,0
24,9
25,0
26,5
27,0
28,4
29,0
30,1
31,0
32,2
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,6
15,0
16,13
17,0
18,14
19,0
20,22
21,0
22,16
23,0
24,15
25,0
26,9
27,0
28,4
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,1
11,0
12,4
13,0
14,8
15,0
16,12
17,0
18,19
19,0
20,16
21,0
22,11
23,0
24,14
25,0
26,6
27,0
28,7
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,3
13,0
14,8
15,0
16,8
17,0
18,19
19,0
20,15
21,0
22,20
23,0
24,11
25,0
26,5
27,0
28,8
29,0
30,1
31,0
32,2
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,3
13,0
14,9
15,0
16,9
17,0
18,11
19,0
20,20
21,0
22,19
23,0
24,12
25,0
26,10
27,0
28,3
29,0
30,2
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,2
7,0
8,0
9,0
10,2
11,0
12,0
13,0
14,4
15,0
16,10
17,0
18,13
19,0
20,24
21,0
22,12
23,0
24,16
25,0
26,10
27,0
28,5
29,0
30,2
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,3
13,0
14,10
15,0
16,19
17,0
18,12
19,0
20,10
21,0
22,19
23,0
24,13
25,0
26,12
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,3
13,0
14,4
15,0
16,14
17,0
18,26
19,0
20,23
21,0
22,12
23,0
24,4
25,0
26,9
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,0
12,4
13,0
14,6
15,0
16,11
17,0
18,12
19,0
20,19
21,0
22,21
23,0
24,10
25,0
26,12
27,0
28,3
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,0
12,1
13,0
14,9
15,0
16,11
17,0
18,16
19,0
20,12
21,0
22,18
23,0
24,15
25,0
26,9
27,0
28,3
29,0
30,3
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,3
13,0
14,11
15,0
16,14
17,0
18,15
19,0
20,25
21,0
22,10
23,0
24,8
25,0
26,10
27,0
28,3
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,5
15,0
16,14
17,0
18,25
19,0
20,13
21,0
22,21
23,0
24,10
25,0
26,5
27,0
28,3
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,2
11,0
12,4
13,0
14,5
15,0
16,8
17,0
18,21
19,0
20,15
21,0
22,11
23,0
24,15
25,0
26,8
27,0
28,6
29,0
30,3
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,0
12,2
13,0
14,4
15,0
16,11
17,0
18,19
19,0
20,11
21,0
22,22
23,0
24,12
25,0
26,8
27,0
28,5
29,0
30,4
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,2
11,0
12,5
13,0
14,6
15,0
16,12
17,0
18,20
19,0
20,15
21,0
22,18
23,0
24,9
25,0
26,5
27,0
28,4
29,0
30,2
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,8
13,0
14,10
15,0
16,22
17,0
18,15
19,0
20,13
21,0
22,15
23,0
24,5
25,0
26,7
27,0
28,0
29,0
30,3
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,0
12,4
13,0
14,12
15,0
16,11
17,0
18,13
19,0
20,21
21,0
22,8
23,0
24,15
25,0
26,9
27,0
28,3
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,0
12,5
13,0
14,9
15,0
16,13
17,0
18,18
19,0
20,18
21,0
22,15
23,0
24,7
25,0
26,6
27,0
28,4
29,0
30,2
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,5
13,0
14,8
15,0
16,11
17,0
18,17
19,0
20,20
21,0
22,16
23,0
24,12
25,0
26,5
27,0
28,2
29,0
30,2
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,3
11,0
12,3
13,0
14,7
15,0
16,18
17,0
18,13
19,0
20,19
21,0
22,19
23,0
24,6
25,0
26,9
27,0
28,2
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,2
13,0
14,10
15,0
16,9
17,0
18,11
19,0
20,16
21,0
22,19
23,0
24,12
25,0
26,13
27,0
28,4
29,0
30,3
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,4
11,0
12,4
13,0
14,7
15,0
16,14
17,0
18,16
19,0
20,21
21,0
22,19
23,0
24,9
25,0
26,3
27,0
28,2
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,3
15,0
16,6
17,0
18,12
19,0
20,21
21,0
22,17
23,0
24,19
25,0
26,10
27,0
28,3
29,0
30,6
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,3
11,0
12,5
13,0
14,3
15,0
16,9
17,0
18,19
19,0
20,20
21,0
22,19
23,0
24,10
25,0
26,7
27,0
28,3
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,5
13,0
14,4
15,0
16,10
17,0
18,10
19,0
20,27
21,0
22,11
23,0
24,21
25,0
26,5
27,0
28,3
29,0
30,0
31,0
32,2
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,1
11,0
12,4
13,0
14,5
15,0
16,13
17,0
18,15
19,0
20,19
21,0
22,16
23,0
24,12
25,0
26,7
27,0
28,4
29,0
30,2
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,5
13,0
14,9
15,0
16,15
17,0
18,16
19,0
20,13
21,0
22,15
23,0
24,13
25,0
26,10
27,0
28,3
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,2
11,0
12,5
13,0
14,5
15,0
16,12
17,0
18,15
19,0
20,18
21,0
22,20
23,0
24,11
25,0
26,6
27,0
28,3
29,0
30,2
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,5
13,0
14,5
15,0
16,7
17,0
18,20
19,0
20,19
21,0
22,19
23,0
24,12
25,0
26,4
27,0
28,5
29,0
30,2
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,4
13,0
14,10
15,0
16,10
17,0
18,21
19,0
20,16
21,0
22,11
23,0
24,15
25,0
26,8
27,0
28,3
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,2
13,0
14,5
15,0
16,11
17,0
18,21
19,0
20,17
21,0
22,21
23,0
24,11
25,0
26,7
27,0
28,4
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,2
7,0
8,0
9,0
10,1
11,0
12,8
13,0
14,8
15,0
16,11
17,0
18,13
19,0
20,14
21,0
22,20
23,0
24,7
25,0
26,12
27,0
28,2
29,0
30,2
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,3
11,0
12,4
13,0
14,3
15,0
16,24
17,0
18,13
19,0
20,17
21,0
22,17
23,0
24,7
25,0
26,6
27,0
28,3
29,0
30,2
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,0
12,4
13,0
14,5
15,0
16,13
17,0
18,14
19,0
20,18
21,0
22,17
23,0
24,12
25,0
26,6
27,0
28,4
29,0
30,5
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,3
11,0
12,3
13,0
14,7
15,0
16,11
17,0
18,19
19,0
20,22
21,0
22,10
23,0
24,15
25,0
26,5
27,0
28,2
29,0
30,2
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,10
15,0
16,17
17,0
18,17
19,0
20,20
21,0
22,10
23,0
24,13
25,0
26,8
27,0
28,3
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
0,0
1,0
2,0
3,0
4,0
5,0
